Date,Days_of_the_week,App,Minutes,Category
8/29,Tuesday,SPOTIFY,216,Entertainment
8/29,Tuesday,TIKOK,115,Entertainment
8/29,Tuesday,MESSAGES,84,Other
8/29,Tuesday,CALCULATOR,43,Education
8/29,Tuesday,INSTAGRAM,35,Social Media
8/29,Tuesday,SAFARI,26,Other
8/29,Tuesday,WEATHER,6,Other
8/30,Wednesday,TIKOK,86,Entertainment
8/30,Wednesday,MESSAGES,18,Other
8/30,Wednesday,CALCULATOR,150,Education
8/30,Wednesday,INSTAGRAM,70,Social Media
8/30,Wednesday,SAFARI,33,Other
8/30,Wednesday,WEATHER,5,Other
8/30,Wednesday,SPOTIFY,79,Entertainment
8/31,Thursday,SPOTIFY,86,Entertainment
8/31,Thursday,TIKTOK,75,Entertainment
8/31,Thursday,MESSAGES,86,Other
8/31,Thursday,CALCULATOR,9,Other
8/31,Thursday,INSTAGRAM,44,Social Media
8/31,Thursday,SAFARI,39,Other
8/31,Thursday,WEATHER,1,Other
9/1,Friday,SPOTIFY,221,Entertainment
9/1,Friday,TIKOK,61,Entertainment
9/1,Friday,MESSAGES,84,Other
9/1,Friday,CALCULATOR,43,Education
9/1,Friday,INSTAGRAM,35,Social Media
9/1,Friday,SAFARI,26,Other
9/1,Friday,WEATHER,6,Other
9/2,Saturday,SPOTIFY,35,Entertainment
9/2,Saturday,TIKOK,67,Entertainment
9/2,Saturday,MESSAGES,45,Other
9/2,Saturday,CALCULATOR,4,Education
9/2,Saturday,INSTAGRAM,73,Social Media
9/2,Saturday,SAFARI,37,Other
9/2,Saturday,WEATHER,13,Other
9/3,Saturday,SPOTIFY,115,Entertainment
9/3,Saturday,TIKOK,11,Entertainment
9/3,Saturday,MESSAGES,48,Other
9/3,Saturday,CALCULATOR,2,Education
9/3,Saturday,INSTAGRAM,19,Social Media
9/3,Saturday,SAFARI,20,Other
9/3,Saturday,WEATHER,4,Other
9/4,Sunday,SPOTIFY,27,Entertainment
9/4,Sunday,TIKOK,47,Entertainment
9/4,Sunday,MESSAGES,15,Other
9/4,Sunday,CALCULATOR,7,Education
9/4,Sunday,INSTAGRAM,108,Social Media
9/4,Sunday,SAFARI,54,Other
9/4,Sunday,WEATHER,2,Other